cb,id,bias,ispc,acc,keypressed,experimenter.rt,block,rt,stim,tt
ICPC_E1_B1,102,Biased,MI,1,d,424,Test1,871,Bird5_incD.bmp,2
ICPC_E1_B1,102,Biased,MI,1,g,479,Test1,570,Cat2_con.bmp,1
ICPC_E1_B1,102,Biased,MC,1,f,294,Test1,520,Dog7_con.bmp,1
ICPC_E1_B1,102,Biased,MC,1,f,316,Test1,512,Dog7_con.bmp,1
ICPC_E1_B1,102,Unbiased,MC,1,h,598,Test1,590,Fish9_con.bmp,1
ICPC_E1_B1,102,Biased,MI,1,g,451,Test1,445,Cat7_con.bmp,1
ICPC_E1_B1,102,Unbiased,MC,1,h,630,Test1,621,Fish9_con.bmp,1
ICPC_E1_B1,102,Biased,MI,1,g,419,Test1,624,Cat7_incB.bmp,2
ICPC_E1_B1,102,Biased,MI,1,d,709,Test1,687,Bird2_incF.bmp,2
ICPC_E1_B1,102,Biased,MI,1,g,432,Test1,574,Cat7_incB.bmp,2
ICPC_E1_B1,102,Biased,MC,1,f,464,Test1,539,Dog5_incF.bmp,2
ICPC_E1_B1,102,Unbiased,MI,0,h,974,Test1,532,Bird7_incF.bmp,2
ICPC_E1_B1,102,Biased,MC,1,h,658,Test1,482,Fish5_con.bmp,1
ICPC_E1_B1,102,Biased,MC,1,f,481,Test1,731,Dog5_incC.bmp,2
ICPC_E1_B1,102,Unbiased,MI,1,d,637,Test1,581,Bird7_con.bmp,1
ICPC_E1_B1,102,Biased,MC,1,f,372,Test1,544,Dog5_con.bmp,1
ICPC_E1_B1,102,Biased,MC,1,f,403,Test1,609,Dog5_con.bmp,1
ICPC_E1_B1,102,Unbiased,MC,1,f,456,Test1,639,Dog8_incB.bmp,2
ICPC_E1_B1,102,Unbiased,MI,1,g,488,Test1,502,Cat10_con.bmp,1
ICPC_E1_B1,102,Biased,MI,1,d,598,Test1,506,Bird2_con.bmp,1
ICPC_E1_B1,102,Biased,MI,1,g,1045,Test1,784,Cat7_incF.bmp,2
ICPC_E1_B1,102,Biased,MI,1,g,1908,Test1,750,Cat7_incF.bmp,2
ICPC_E1_B1,102,Unbiased,MC,1,f,492,Test1,655,Dog8_incC.bmp,2
ICPC_E1_B1,102,Biased,MC,1,h,624,Test1,575,Fish3_con.bmp,1
ICPC_E1_B1,102,Biased,MC,1,f,476,Test1,462,Dog7_con.bmp,1
ICPC_E1_B1,102,Unbiased,MC,1,f,393,Test1,529,Dog8_incF.bmp,2
ICPC_E1_B1,102,Unbiased,MI,1,g,457,Test1,565,Cat10_con.bmp,1
ICPC_E1_B1,102,Biased,MC,1,f,335,Test1,560,Dog7_con.bmp,1
ICPC_E1_B1,102,Biased,MI,1,d,388,Test1,889,Bird5_con.bmp,1
ICPC_E1_B1,102,Unbiased,MC,1,h,307,Test1,798,Fish9_incC.bmp,2
ICPC_E1_B1,102,Unbiased,MC,1,f,384,Test1,514,Dog8_incF.bmp,2
ICPC_E1_B1,102,Unbiased,MI,1,d,384,Test1,577,Bird7_incD.bmp,2
ICPC_E1_B1,102,Biased,MC,1,h,717,Test1,430,Fish3_con.bmp,1
ICPC_E1_B1,102,Biased,MI,1,d,875,Test1,684,Bird2_incD.bmp,2
ICPC_E1_B1,102,Unbiased,MC,1,f,410,Test1,510,Dog8_con.bmp,1
ICPC_E1_B1,102,Biased,MC,1,h,458,Test1,748,Fish5_con.bmp,1
ICPC_E1_B1,102,Unbiased,MC,1,f,456,Test1,751,Dog8_incC.bmp,2
ICPC_E1_B1,102,Biased,MC,1,f,458,Test1,641,Dog7_incC.bmp,2
ICPC_E1_B1,102,Biased,MC,1,f,433,Test1,525,Dog7_incB.bmp,2
ICPC_E1_B1,102,Biased,MI,1,d,473,Test1,711,Bird5_incD.bmp,2
ICPC_E1_B1,102,Biased,MC,1,h,513,Test1,700,Fish5_con.bmp,1
ICPC_E1_B1,102,Biased,MI,1,g,330,Test1,611,Cat2_incD.bmp,2
ICPC_E1_B1,102,Biased,MI,1,d,581,Test1,572,Bird2_incC.bmp,2
ICPC_E1_B1,102,Biased,MC,1,h,1206,Test1,580,Fish5_incB.bmp,2
ICPC_E1_B1,102,Biased,MC,1,f,427,Test1,617,Dog5_con.bmp,1
ICPC_E1_B1,102,Unbiased,MI,1,g,428,Test1,505,Cat10_con.bmp,1
ICPC_E1_B1,102,Biased,MI,1,d,448,Test1,614,Bird5_incC.bmp,2
ICPC_E1_B1,102,Unbiased,MI,1,g,444,Test1,623,Cat10_incF.bmp,2
ICPC_E1_B1,102,Biased,MC,1,h,635,Test1,547,Fish3_con.bmp,1
ICPC_E1_B1,102,Unbiased,MI,1,g,448,Test1,604,Cat10_con.bmp,1
ICPC_E1_B1,102,Biased,MC,1,h,593,Test1,486,Fish3_con.bmp,1
ICPC_E1_B1,102,Unbiased,MI,1,d,748,Test1,505,Bird7_con.bmp,1
ICPC_E1_B1,102,Biased,MI,1,d,659,Test1,841,Bird2_incC.bmp,2
ICPC_E1_B1,102,Biased,MI,1,d,678,Test1,821,Bird5_incF.bmp,2
ICPC_E1_B1,102,Unbiased,MC,1,h,431,Test1,678,Fish9_incB.bmp,2
ICPC_E1_B1,102,Biased,MI,1,d,563,Test1,637,Bird5_incF.bmp,2
ICPC_E1_B1,102,Biased,MC,1,h,521,Test1,456,Fish3_con.bmp,1
ICPC_E1_B1,102,Unbiased,MC,1,h,535,Test1,694,Fish9_incD.bmp,2
ICPC_E1_B1,102,Biased,MC,1,f,629,Test1,669,Dog5_incB.bmp,2
ICPC_E1_B1,102,Biased,MI,1,d,488,Test1,462,Bird5_incC.bmp,2
ICPC_E1_B1,102,Biased,MI,1,d,483,Test1,802,Bird2_incD.bmp,2
ICPC_E1_B1,102,Biased,MC,1,h,519,Test1,744,Fish5_con.bmp,1
