cb,id,bias,ispc,acc,keypressed,experimenter.rt,block,rt,stim,tt
ICPC_E2_A1,209,Biased,MI,1,f,703,,498,Dog8_incF.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,852,,538,Fish3_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MI,1,h,578,,530,Fish5_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MI,1,f,708,,535,Dog10_incB.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,742,,816,Fish3_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,544,,564,Cat7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,502,,671,Fish3_incC.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,1,h,547,,736,Fish10_incD.bmp,2
ICPC_E2_A1,209,Opp_Biased,MC,0,f,752,,683,Cat9_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,676,,908,Cat7_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,1179,,702,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,618,,606,Cat7_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MC,1,g,681,,753,Cat9_incF.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,728,,695,Dog8_incC.bmp,2
ICPC_E2_A1,209,Opp_Biased,MC,1,g,666,,1185,Cat9_incB.bmp,2
ICPC_E2_A1,209,Ext_Biased,MC,1,d,723,,1089,Bird7_incF.bmp,2
ICPC_E2_A1,209,Opp_Biased,MC,1,d,755,,610,Bird8_incC.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,1,h,673,,655,Fish10_incD.bmp,2
ICPC_E2_A1,209,Opp_Biased,MI,1,f,761,,696,Dog7_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,835,,755,Bird5_incC.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,581,,663,Fish9_incC.bmp,2
ICPC_E2_A1,209,Opp_Biased,MI,1,f,509,,582,Dog7_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,d,529,,730,Bird7_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,534,,521,Cat7_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,632,,586,Cat2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,399,,549,Cat2_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,700,,422,Dog8_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MI,1,h,554,,506,Fish10_incC.bmp,2
ICPC_E2_A1,209,Opp_Biased,MC,1,g,640,,874,Cat9_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,604,,616,Bird2_incC.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,512,,840,Dog5_incB.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,664,,649,Fish9_incC.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,448,,692,Fish9_incD.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,613,,780,Dog5_incC.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,550,,531,Dog5_incF.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,561,,734,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,617,,586,Bird2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,545,,1147,Cat2_incB.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,1,f,344,,828,Dog10_incB.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,1,h,388,,517,Fish10_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,1453,,554,Cat7_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,g,410,,530,Cat10_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,1089,,593,Fish3_incD.bmp,2
ICPC_E2_A1,209,Ext_Biased,MC,1,g,1445,,582,Cat10_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,d,691,,758,Bird7_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MI,1,f,649,,546,Dog7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,507,,849,Fish9_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,707,,646,Bird2_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MI,1,h,543,,557,Fish5_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,697,,544,Cat2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,731,,617,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,765,,808,Fish3_incD.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,484,,632,Fish9_incC.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,1,h,510,,620,Fish10_incB.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,647,,625,Dog5_incF.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,577,,473,Cat7_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MC,1,d,628,,513,Bird8_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,726,,479,Fish3_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,585,,560,Fish3_incD.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,693,,479,Dog5_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,533,,673,Fish3_incC.bmp,2
ICPC_E2_A1,209,Opp_Biased,MI,1,f,581,,424,Dog7_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,607,,547,Cat2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,579,,673,Bird2_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,g,429,,520,Cat10_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,681,,450,Fish3_incC.bmp,2
ICPC_E2_A1,209,Opp_Biased,MC,1,d,605,,785,Bird8_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,606,,717,Bird5_incF.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,579,,630,Dog5_incB.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,505,,651,Bird2_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,605,,512,Dog5_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,560,,485,Bird2_incD.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,559,,865,Fish9_incB.bmp,2
ICPC_E2_A1,209,Opp_Biased,MC,1,g,595,,713,Cat9_incB.bmp,2
ICPC_E2_A1,209,Ext_Biased,MC,1,d,514,,585,Bird7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,548,,623,Fish3_incD.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,498,,655,Dog8_incF.bmp,2
ICPC_E2_A1,209,Opp_Biased,MC,1,g,462,,785,Cat9_incF.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,500,,555,Fish3_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MI,1,f,610,,710,Dog7_incC.bmp,2
ICPC_E2_A1,209,Opp_Biased,MI,1,h,608,,590,Fish5_incC.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,520,,567,Fish3_incC.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,524,,742,Cat2_incF.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,1,h,454,,590,Fish10_incC.bmp,2
ICPC_E2_A1,209,Opp_Biased,MI,1,f,515,,564,Dog7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,533,,822,Dog8_incF.bmp,2
ICPC_E2_A1,209,Biased,MC,1,d,603,,681,Bird2_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,452,,938,Dog8_incC.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,424,,795,Cat2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,535,,734,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,828,,502,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,603,,572,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,775,,840,Fish9_incC.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,727,,580,Cat7_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,d,641,,579,Bird7_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,509,,628,Bird2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,705,,555,Cat7_incB.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,736,,686,Fish3_incD.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,747,,547,Dog8_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,723,,794,Dog8_incB.bmp,2
ICPC_E2_A1,209,Opp_Biased,MI,1,f,673,,509,Dog7_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MI,1,h,860,,399,Fish5_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,657,,594,Bird2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,929,,509,Cat7_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MI,1,f,569,,642,Dog10_incF.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,616,,607,Dog8_incB.bmp,2
ICPC_E2_A1,209,Opp_Biased,MI,1,f,652,,649,Dog7_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,722,,561,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,f,521,,856,Dog5_incF.bmp,2
ICPC_E2_A1,209,Opp_Biased,MI,1,h,636,,551,Fish5_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,607,,675,Cat7_incF.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,598,,574,Dog8_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,782,,567,Fish3_incC.bmp,2
ICPC_E2_A1,209,Biased,MC,0,l,1303,,555,Cat2_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MI,1,h,714,,589,Fish10_incB.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,491,,617,Fish3_incB.bmp,2
ICPC_E2_A1,209,Opp_Biased,MC,1,g,524,,850,Cat9_incD.bmp,2
ICPC_E2_A1,209,Ext_Biased,MC,1,d,684,,605,Bird7_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,541,,647,Bird5_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,492,,650,Bird5_incC.bmp,2
ICPC_E2_A1,209,Opp_Biased,MC,1,d,569,,528,Bird8_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,550,,668,Cat7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,1,h,608,,757,Fish3_incC.bmp,2
ICPC_E2_A1,209,Biased,MI,1,f,634,,708,Dog5_con.bmp,1
ICPC_E2_A1,209,Opp_Biased,MC,1,d,557,,851,Bird8_incD.bmp,2
ICPC_E2_A1,209,Biased,MC,1,g,604,,615,Cat7_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,g,588,,570,Cat2_con.bmp,1
ICPC_E2_A1,209,Biased,MC,0,l,971,,389,Bird5_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MI,1,h,570,,629,Fish10_incC.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,1,h,588,,534,Fish10_con.bmp,1
ICPC_E2_A1,209,Biased,MC,1,d,602,,593,Bird2_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MI,1,f,731,,759,Dog10_incC.bmp,2
ICPC_E2_A1,209,Biased,MI,1,h,617,,687,Fish9_incB.bmp,2
ICPC_E2_A1,209,Ext_Biased,MI,1,f,600,,558,Dog10_con.bmp,1
ICPC_E2_A1,209,Ext_Biased,MC,1,d,624,,566,Bird7_con.bmp,1
ICPC_E2_A1,209,Biased,MI,0,l,939,,446,Fish9_incD.bmp,2
