cb,id,bias,ispc,acc,keypressed,experimenter.rt,block,rt,stim,tt
ICPC_E3_A1C,201,Unbiased,MC,1,g,526,,934,Cat10_incD.bmp,2
ICPC_E3_A1C,201,Unbiased,MI,1,h,511,,814,Fish9_incC.bmp,2
ICPC_E3_A1C,201,Unbiased,MI,1,f,467,,957,Dog8_con.bmp,1
ICPC_E3_A1C,201,Biased,MI,1,h,728,,974,Fish3_incB.bmp,2
ICPC_E3_A1C,201,Unbiased,MI,1,h,615,,869,Fish9_incB.bmp,2
ICPC_E3_A1C,201,Biased,MI,1,h,577,,878,Fish5_incB.bmp,2
ICPC_E3_A1C,201,Biased,MI,1,f,542,,864,Dog5_con.bmp,1
ICPC_E3_A1C,201,Unbiased,MI,1,h,438,,823,Fish9_con.bmp,1
ICPC_E3_A1C,201,Biased,MC,1,g,534,,922,Cat2_incF.bmp,2
ICPC_E3_A1C,201,Biased,MC,1,d,686,,1027,Bird2_incF.bmp,2
ICPC_E3_A1C,201,Unbiased,MC,1,g,666,,787,Cat10_con.bmp,1
ICPC_E3_A1C,201,Biased,MC,1,d,733,,828,Bird2_con.bmp,1
ICPC_E3_A1C,201,Biased,MC,1,g,464,,947,Cat2_con.bmp,1
ICPC_E3_A1C,201,Biased,MC,1,d,602,,855,Bird5_incF.bmp,2
ICPC_E3_A1C,201,Unbiased,MC,1,d,586,,739,Bird7_incC.bmp,2
ICPC_E3_A1C,201,Biased,MI,1,h,691,,736,Fish5_incD.bmp,2
ICPC_E3_A1C,201,Unbiased,MC,1,d,558,,809,Bird7_incD.bmp,2
ICPC_E3_A1C,201,Biased,MC,1,d,528,,749,Bird5_con.bmp,1
ICPC_E3_A1C,201,Unbiased,MC,1,d,508,,756,Bird7_con.bmp,1
ICPC_E3_A1C,201,Biased,MI,1,f,506,,902,Dog7_incC.bmp,2
ICPC_E3_A1C,201,Biased,MC,0,l,936,,308,Bird2_incC.bmp,2
ICPC_E3_A1C,201,Biased,MC,1,g,472,,820,Cat7_con.bmp,1
ICPC_E3_A1C,201,Unbiased,MC,1,g,593,,860,Cat10_incB.bmp,2
ICPC_E3_A1C,201,Biased,MC,1,g,768,,793,Cat2_con.bmp,1
ICPC_E3_A1C,201,Unbiased,MC,1,d,930,,750,Bird7_incC.bmp,2
ICPC_E3_A1C,201,Unbiased,MI,1,h,608,,687,Fish9_incB.bmp,2
ICPC_E3_A1C,201,Biased,MC,1,d,622,,800,Bird5_con.bmp,1
ICPC_E3_A1C,201,Biased,MI,1,f,543,,699,Dog7_con.bmp,1
ICPC_E3_A1C,201,Unbiased,MC,1,g,451,,708,Cat10_con.bmp,1
ICPC_E3_A1C,201,Biased,MC,1,g,436,,854,Cat7_con.bmp,1
ICPC_E3_A1C,201,Unbiased,MI,1,h,864,,822,Fish9_con.bmp,1
ICPC_E3_A1C,201,Biased,MC,1,g,653,,786,Cat7_con.bmp,1
ICPC_E3_A1C,201,Biased,MC,1,d,529,,818,Bird5_con.bmp,1
ICPC_E3_A1C,201,Biased,MI,1,f,531,,762,Dog5_incB.bmp,2
ICPC_E3_A1C,201,Unbiased,MI,1,h,492,,810,Fish9_con.bmp,1
ICPC_E3_A1C,201,Biased,MC,1,d,476,,876,Bird2_con.bmp,1
ICPC_E3_A1C,201,Unbiased,MI,1,f,398,,818,Dog8_incB.bmp,2
ICPC_E3_A1C,201,Biased,MI,1,h,623,,861,Fish3_con.bmp,1
ICPC_E3_A1C,201,Biased,MC,1,d,590,,764,Bird2_con.bmp,1
ICPC_E3_A1C,201,Biased,MC,1,g,943,,738,Cat7_con.bmp,1
ICPC_E3_A1C,201,Biased,MC,1,g,650,,744,Cat7_con.bmp,1
ICPC_E3_A1C,201,Biased,MI,1,h,648,,739,Fish5_con.bmp,1
ICPC_E3_A1C,201,Unbiased,MI,1,f,764,,587,Dog8_con.bmp,1
ICPC_E3_A1C,201,Biased,MI,0,g,1231,,734,Fish5_incC.bmp,2
ICPC_E3_A1C,201,Unbiased,MI,1,f,496,,917,Dog8_incF.bmp,2
ICPC_E3_A1C,201,Biased,MC,1,g,737,,844,Cat2_incD.bmp,2
ICPC_E3_A1C,201,Biased,MC,1,d,616,,838,Bird2_incD.bmp,2
